country_of_origin,variety,processing_method,total_cup_points,aroma,flavor,acidity,body,balance,altitude_mean_meters
Thailand,Unknown,Unknown,83.83,7.75,7.75,8.0,7.67,7.58,1499.9208
Thailand,Unknown,Unknown,83.83,7.5,7.83,7.58,7.75,7.83,
Ethiopia,Unknown,Unknown,83.83,7.58,7.83,8.0,7.83,7.5,
Kenya,SL28,Washed / Wet,83.75,7.75,7.58,7.58,7.75,7.75,1800.0
Brazil,Bourbon,Natural / Dry,83.75,7.67,7.67,7.75,7.67,7.67,890.0
Colombia,Caturra,Washed / Wet,83.75,7.83,7.83,7.58,7.58,7.58,442.0
Taiwan,Typica,Natural / Dry,83.75,7.67,7.67,7.58,7.67,7.83,750.0
Colombia,Unknown,Washed / Wet,83.75,7.92,7.75,7.67,7.75,7.5,
China,Catimor,Washed / Wet,83.75,7.83,7.75,7.5,7.58,7.67,1650.0
Colombia,Caturra,Natural / Dry,83.75,7.75,7.67,7.67,7.58,7.83,442.0
Uganda,Bourbon,Natural / Dry,83.75,8.0,7.92,7.75,7.33,7.5,1400.0
United States (Puerto Rico),Other,Washed / Wet,83.75,7.83,7.83,7.67,8.0,8.17,853.44
Colombia,Caturra,Washed / Wet,83.75,7.67,7.67,7.92,7.5,7.67,1775.0
Colombia,Other,Washed / Wet,83.75,7.67,7.42,7.42,8.0,8.33,1550.0
Colombia,Caturra,Washed / Wet,83.75,7.58,7.67,7.67,7.67,7.67,1750.0
Colombia,Caturra,Washed / Wet,83.75,7.75,7.67,7.58,7.42,8.0,1750.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,83.75,7.25,7.42,7.58,7.83,8.25,
Mexico,Caturra,Natural / Dry,83.75,7.83,7.58,7.5,7.75,7.67,700.0
Guatemala,Caturra,Washed / Wet,83.75,7.67,7.58,7.67,7.75,7.75,1300.0
Colombia,Unknown,Unknown,83.75,7.83,7.83,7.33,7.42,7.67,1600.0
Colombia,Unknown,Unknown,83.75,7.75,7.67,7.25,7.58,8.5,1600.0
United States (Hawaii),Unknown,Unknown,83.75,7.83,7.67,7.67,7.58,7.5,
Brazil,Bourbon,Natural / Dry,83.67,7.67,7.83,7.67,7.67,7.5,890.0
Kenya,SL28,Washed / Wet,83.67,8.08,7.67,7.58,7.25,7.67,1700.0
Honduras,Caturra,Washed / Wet,83.67,7.5,7.5,7.67,8.0,8.0,1400.0
Nicaragua,Caturra,Washed / Wet,83.67,7.67,7.75,7.67,7.83,7.58,1250.0
Brazil,Bourbon,Natural / Dry,83.67,7.58,7.75,7.75,7.58,7.58,934.0
Taiwan,Caturra,Natural / Dry,83.67,7.5,7.67,7.92,7.83,7.67,1200.0
Costa Rica,Unknown,Unknown,83.67,7.33,7.67,7.5,7.67,7.5,1350.0
Thailand,Unknown,Washed / Wet,83.67,7.5,7.75,7.83,7.67,7.58,800.0
Colombia,Caturra,Washed / Wet,83.67,7.5,7.75,7.75,7.67,7.67,1625.0
Guatemala,Bourbon,Washed / Wet,83.67,8.0,7.5,8.0,8.0,8.0,1356.6648
Colombia,Caturra,Washed / Wet,83.67,7.83,7.75,7.58,7.58,7.67,1750.0
Colombia,Caturra,Washed / Wet,83.67,7.67,7.67,7.67,7.33,7.75,1900.0
Guatemala,Bourbon,Washed / Wet,83.67,7.67,7.67,7.67,8.0,7.75,1310.64
Guatemala,Bourbon,Washed / Wet,83.67,7.83,7.67,7.67,7.67,7.83,1310.64
Colombia,Caturra,Washed / Wet,83.67,7.75,7.75,7.83,7.17,7.75,1750.0
Guatemala,Caturra,Natural / Dry,83.67,8.17,8.17,7.67,8.08,7.75,1450.0
Guatemala,Bourbon,Washed / Wet,83.67,7.67,8.17,7.42,7.58,7.83,1310.64
Mexico,Typica,Washed / Wet,83.67,7.67,7.5,7.33,7.83,8.25,1100.0
Indonesia,Typica,Washed / Wet,83.67,8.17,7.67,7.58,7.42,7.67,1400.0
Guatemala,Caturra,Washed / Wet,83.67,7.67,7.5,8.0,7.67,7.67,1524.0
United States (Hawaii),Unknown,Unknown,83.67,7.75,8.0,8.08,7.75,8.0,
Brazil,Bourbon,Natural / Dry,83.58,7.58,7.67,7.58,7.67,7.58,890.0
Guatemala,Caturra,Washed / Wet,83.58,7.75,7.75,7.83,7.58,7.58,1128.3696
Colombia,Caturra,Washed / Wet,83.58,7.75,7.75,7.58,7.67,7.58,
China,Catimor,Washed / Wet,83.58,7.67,7.58,7.58,7.67,7.75,1100.0
Colombia,Caturra,Washed / Wet,83.58,7.67,7.75,7.67,7.75,7.58,1775.0
Mexico,Caturra,Washed / Wet,83.58,7.75,7.75,7.58,7.5,7.67,1200.0
Ethiopia,Other,Washed / Wet,83.58,7.75,7.67,7.67,7.5,7.67,1850.0
Uganda,SL14,Washed / Wet,83.58,7.67,7.67,7.75,7.75,7.67,1800.0
Colombia,Caturra,Natural / Dry,83.58,7.67,7.58,7.67,7.67,7.67,1600.0
Colombia,Caturra,Washed / Wet,83.58,7.67,7.58,7.58,7.67,7.75,1550.0
Colombia,Caturra,Washed / Wet,83.58,7.75,7.58,7.58,7.75,7.83,1550.0
Taiwan,Typica,Other,83.58,7.75,7.75,7.75,7.5,7.58,1000.0
Colombia,Caturra,Washed / Wet,83.58,7.67,7.67,7.67,7.75,7.58,1775.0
Mexico,Typica,Washed / Wet,83.58,7.83,7.67,7.58,7.67,7.58,1000.0
Colombia,Caturra,Natural / Dry,83.58,7.67,7.58,7.58,7.67,7.75,2136.0
Brazil,Catuai,Semi-washed / Semi-pulped,83.58,7.83,7.75,7.75,7.5,7.58,1100.0
Colombia,Caturra,Washed / Wet,83.5,7.75,7.58,7.75,7.75,7.5,1799.0
Taiwan,Unknown,Unknown,83.5,7.58,7.58,7.17,7.0,7.0,
Costa Rica,Caturra,Washed / Wet,83.5,7.92,7.42,7.67,7.5,7.67,1850.0
Colombia,Caturra,Natural / Dry,83.5,7.75,7.58,7.5,7.75,7.75,1000.0
Guatemala,Bourbon,Washed / Wet,83.5,7.67,7.75,7.83,7.58,7.58,1219.2
Colombia,Caturra,Washed / Wet,83.5,7.58,7.58,7.58,7.75,7.67,1775.0
"Tanzania, United Republic Of",Ruiru 11,Washed / Wet,83.5,7.75,7.67,7.67,7.67,7.58,1400.0
Indonesia,Sumatra,Semi-washed / Semi-pulped,83.5,7.25,7.67,7.92,7.83,7.58,1500.0
Ethiopia,Unknown,Natural / Dry,83.5,7.67,7.75,7.58,7.75,7.67,1600.0
Colombia,Unknown,Washed / Wet,83.5,7.67,7.42,7.83,7.58,7.67,
Colombia,Caturra,Washed / Wet,83.5,8.0,7.58,7.58,7.92,7.58,1850.0
Guatemala,Caturra,Washed / Wet,83.5,7.58,7.75,7.83,7.42,7.67,1400.0
Colombia,Caturra,Washed / Wet,83.5,7.75,7.58,7.5,7.83,7.83,1650.0
Honduras,Caturra,Natural / Dry,83.5,7.67,7.5,7.5,7.67,7.67,1350.0
Colombia,Caturra,Washed / Wet,83.5,7.58,7.75,7.67,7.75,7.67,1750.0
Colombia,Caturra,Washed / Wet,83.5,7.58,7.67,7.75,7.58,7.75,1750.0
Mexico,Bourbon,Natural / Dry,83.5,7.83,7.58,7.5,7.5,7.42,1170.0
Mexico,Typica,Semi-washed / Semi-pulped,83.5,7.67,7.75,7.75,7.58,7.5,940.0
Mexico,Pacamara,Washed / Wet,83.5,7.75,7.67,7.75,7.33,7.5,1400.0
Guatemala,Caturra,Washed / Wet,83.5,7.83,7.5,8.0,7.67,7.5,1524.0
Colombia,Caturra,Washed / Wet,83.5,7.67,7.58,7.67,7.67,7.67,1775.0
Guatemala,Bourbon,Washed / Wet,83.5,7.5,7.5,7.5,8.0,7.67,1402.08
United States (Hawaii),Unknown,Unknown,83.5,7.5,7.67,7.92,7.58,7.67,
Indonesia,Unknown,Unknown,83.5,7.83,7.58,7.58,7.75,7.58,1600.0
Colombia,Caturra,Washed / Wet,83.42,7.5,7.58,7.5,7.75,7.83,439.0
Guatemala,Bourbon,Washed / Wet,83.42,7.67,7.75,7.58,7.58,7.67,1700.0
Colombia,Caturra,Washed / Wet,83.42,7.67,7.67,7.67,7.67,7.58,442.0
Costa Rica,Caturra,Washed / Wet,83.42,7.58,7.5,7.92,7.5,7.67,1850.0
Taiwan,Unknown,Unknown,83.42,7.67,7.67,7.08,7.0,7.0,
Uganda,SL14,Washed / Wet,83.42,7.58,7.75,7.75,7.67,7.58,1800.0
Thailand,Catimor,Washed / Wet,83.42,7.5,7.58,7.5,7.75,7.67,1200.0
El Salvador,Bourbon,Washed / Wet,83.42,7.58,7.5,7.58,7.75,7.67,1330.0
Colombia,Caturra,Natural / Dry,83.42,7.58,7.67,7.67,7.58,7.67,442.0
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,83.42,7.33,7.83,7.5,7.42,7.83,
"Tanzania, United Republic Of",Bourbon,Washed / Wet,83.42,7.75,7.67,7.67,7.58,7.58,1600.0
Colombia,Caturra,Washed / Wet,83.42,7.58,7.58,7.75,7.75,8.58,1813.0
Guatemala,Bourbon,Natural / Dry,83.42,7.75,7.83,7.83,7.5,7.67,1219.2
Guatemala,Caturra,Washed / Wet,83.42,7.67,7.75,7.83,7.58,7.5,1500.0
Guatemala,Bourbon,Washed / Wet,83.42,7.67,7.5,7.42,7.75,7.75,1310.64
United States (Hawaii),Hawaiian Kona,Natural / Dry,83.42,7.42,7.75,7.58,7.67,7.67,
Colombia,Caturra,Washed / Wet,83.42,7.5,7.75,7.5,7.67,7.75,1450.0
Colombia,Unknown,Unknown,83.42,7.58,7.58,7.67,7.75,7.67,
United States (Hawaii),Unknown,Unknown,83.42,7.5,7.92,7.67,7.83,7.58,
Thailand,Peaberry,Unknown,83.42,7.58,7.25,7.92,7.92,7.42,
Mexico,Unknown,Unknown,83.38,7.25,7.88,7.63,7.5,8.75,1050.0
Colombia,Caturra,Washed / Wet,83.33,7.75,7.5,7.58,7.58,7.58,1650.0
Colombia,Caturra,Washed / Wet,83.33,7.67,7.58,7.42,7.67,7.75,
Colombia,Caturra,Washed / Wet,83.33,7.83,7.58,7.58,7.5,7.58,
Brazil,Catuai,Semi-washed / Semi-pulped,83.33,7.5,7.83,7.58,7.58,7.92,1227.0
Mexico,Caturra,Washed / Wet,83.33,7.75,7.75,7.67,7.5,7.58,1200.0
Colombia,Caturra,Washed / Wet,83.33,7.67,7.75,7.83,7.83,7.42,1650.0
"Tanzania, United Republic Of",Other,Semi-washed / Semi-pulped,83.33,7.75,7.58,7.58,7.58,7.58,1700.0
Mexico,Other,Washed / Wet,83.33,7.67,7.67,7.67,7.5,7.58,1100.0
Costa Rica,Caturra,Washed / Wet,83.33,7.67,7.67,7.67,7.67,7.67,1300.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,83.33,7.83,7.58,7.67,7.92,8.0,
Costa Rica,Catuai,Washed / Wet,83.33,7.5,7.67,7.5,7.83,7.17,1200.0
Peru,Unknown,Washed / Wet,83.33,7.83,7.75,7.83,7.92,7.58,
Haiti,Typica,Washed / Wet,83.33,7.58,7.5,7.5,7.83,7.42,1280.16
Colombia,Caturra,Natural / Dry,83.33,7.67,7.67,7.67,7.92,7.42,1000.0
Guatemala,Bourbon,Washed / Wet,83.33,7.83,7.67,7.67,7.67,7.67,1310.64
United States (Hawaii),Hawaiian Kona,Natural / Dry,83.33,7.92,7.5,7.83,7.67,7.67,
Burundi,Bourbon,Washed / Wet,83.33,7.75,7.67,7.5,7.5,7.75,1880.0
Colombia,Caturra,Washed / Wet,83.33,7.5,7.67,7.58,7.67,7.58,1750.0
United States (Hawaii),Unknown,Unknown,83.33,8.08,7.83,7.75,7.67,7.58,
United States (Hawaii),Unknown,Unknown,83.33,7.58,7.67,7.5,7.83,7.67,
Mexico,Typica,Washed / Wet,83.25,7.67,7.83,7.83,7.33,7.5,1600.0
Costa Rica,Catuai,Pulped natural / honey,83.25,7.5,7.5,7.5,7.67,7.67,1900.0
Costa Rica,Unknown,Washed / Wet,83.25,7.83,7.5,7.67,7.5,7.67,
Guatemala,Pacas,Washed / Wet,83.25,7.5,7.58,7.83,7.67,7.58,2100.0
Uganda,SL14,Washed / Wet,83.25,7.5,7.67,7.42,7.67,7.67,
Brazil,Unknown,Unknown,83.25,7.58,7.67,7.5,7.67,7.42,
Colombia,Caturra,Natural / Dry,83.25,7.58,7.67,7.17,7.75,7.83,442.0
Mexico,Typica,Natural / Dry,83.25,7.83,7.75,7.58,7.58,7.58,1261.0
Taiwan,Bourbon,Washed / Wet,83.25,7.67,7.5,7.5,7.67,7.83,1000.0
Taiwan,Typica,Washed / Wet,83.25,7.92,7.83,7.58,7.5,7.33,800.0
Colombia,Caturra,Natural / Dry,83.25,7.58,7.58,7.58,7.58,7.75,1483.0
Guatemala,Caturra,Washed / Wet,83.25,7.5,7.67,7.67,7.67,7.5,1500.0
Colombia,Caturra,Washed / Wet,83.25,7.83,7.5,7.33,7.67,7.67,1750.0
Mexico,Bourbon,Washed / Wet,83.25,7.58,7.75,7.5,7.58,7.58,1300.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,83.25,7.58,7.75,8.0,8.08,7.67,
Mexico,Mundo Novo,Washed / Wet,83.25,7.75,7.58,7.58,7.5,7.58,
Mexico,Caturra,Washed / Wet,83.25,7.75,7.75,7.92,7.33,7.5,1000.0
Guatemala,Bourbon,Washed / Wet,83.25,7.83,7.58,7.83,7.42,8.08,1310.64
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,83.25,7.75,7.67,7.58,7.58,7.58,1200.0
Colombia,Caturra,Washed / Wet,83.25,7.67,7.58,7.42,7.83,7.58,175.0
Colombia,Caturra,Washed / Wet,83.25,7.67,7.67,7.5,7.58,7.67,1775.0
Colombia,Unknown,Unknown,83.25,7.92,7.75,7.42,7.83,7.58,1700.0
Colombia,Unknown,Unknown,83.25,8.0,7.67,7.25,7.67,7.5,1880.0
Colombia,Unknown,Unknown,83.25,7.92,7.75,7.42,7.42,7.67,1800.0
Brazil,Bourbon,Natural / Dry,83.17,7.67,7.42,7.58,7.67,7.58,890.0
Guatemala,Bourbon,Washed / Wet,83.17,7.58,7.58,7.67,7.75,7.58,1901.0
"Tanzania, United Republic Of",Bourbon,Washed / Wet,83.17,7.67,7.58,7.67,7.67,7.58,168.0
Peru,Unknown,Unknown,83.17,7.92,7.5,7.58,7.67,7.5,
Vietnam,Catimor,Natural / Dry,83.17,7.58,7.42,7.33,7.58,8.58,1550.0
Guatemala,Caturra,Washed / Wet,83.17,7.67,7.75,7.75,7.58,7.5,1500.0
Honduras,Catuai,Washed / Wet,83.17,7.67,7.67,7.67,7.5,7.67,1450.0
China,Catimor,Washed / Wet,83.17,7.5,7.67,7.67,7.67,7.67,1200.0
China,Catimor,Washed / Wet,83.17,7.67,7.67,7.67,7.42,7.58,1600.0
El Salvador,Bourbon,Washed / Wet,83.17,7.5,7.5,7.67,8.0,7.67,1350.0
Guatemala,Bourbon,Washed / Wet,83.17,7.5,7.75,7.83,7.58,7.5,1500.0
Guatemala,Bourbon,Washed / Wet,83.17,7.92,7.67,7.75,7.5,7.5,1650.0
Kenya,SL28,Washed / Wet,83.17,7.83,7.75,7.75,7.83,8.5,250.5
Thailand,Unknown,Washed / Wet,83.17,7.67,7.58,7.75,7.42,7.67,800.0
"Tanzania, United Republic Of",Other,Washed / Wet,83.17,7.58,7.67,7.58,7.42,7.58,1653.0
Colombia,Caturra,Washed / Wet,83.17,7.58,7.5,7.67,7.5,7.67,1775.0
Uganda,SL14,Washed / Wet,83.17,8.0,7.67,7.42,7.33,7.58,1800.0
Colombia,Unknown,Washed / Wet,83.17,7.58,7.75,7.58,7.58,7.58,
Honduras,Catuai,Natural / Dry,83.17,7.5,7.5,7.67,7.67,7.67,1450.0
Honduras,Caturra,Natural / Dry,83.17,7.67,7.67,7.67,7.5,7.67,1350.0
Guatemala,Catuai,Washed / Wet,83.17,7.33,7.83,8.17,7.33,7.67,1524.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,83.17,7.5,7.5,7.42,7.92,7.67,
"Tanzania, United Republic Of",Bourbon,Washed / Wet,83.17,7.58,7.5,7.75,7.58,7.58,1800.0
Guatemala,Bourbon,Washed / Wet,83.17,7.67,7.83,7.67,7.5,7.67,1310.64
Mexico,Typica,Washed / Wet,83.17,7.75,7.58,7.58,7.5,7.42,1500.0
Mexico,Typica,Washed / Wet,83.17,7.75,7.67,7.5,7.42,7.58,532.0
Mexico,Pacamara,Washed / Wet,83.17,7.58,7.75,7.67,7.5,7.58,1089.0
Colombia,Caturra,Washed / Wet,83.17,7.67,7.5,7.5,7.58,8.17,1775.0
Mexico,Typica,Washed / Wet,83.17,7.75,7.5,7.75,7.58,7.58,700.0
Colombia,Caturra,Washed / Wet,83.17,7.58,7.67,7.58,7.67,7.67,1750.0
Mexico,Typica,Washed / Wet,83.17,7.5,7.75,7.58,7.67,7.5,1380.0
Brazil,Mundo Novo,Natural / Dry,83.17,7.75,7.67,7.5,7.58,7.58,1000.0
Brazil,Mundo Novo,Natural / Dry,83.17,7.92,7.58,7.58,7.42,7.5,950.0
Guatemala,Bourbon,Washed / Wet,83.17,7.75,7.5,7.5,7.92,8.0,1402.08
Brazil,Mundo Novo,Semi-washed / Semi-pulped,83.17,7.75,7.5,7.5,7.75,7.5,1000.0
Brazil,Unknown,Unknown,83.17,7.58,7.75,7.5,7.67,7.58,900.0
El Salvador,Unknown,Unknown,83.17,7.42,7.83,8.08,7.17,7.58,1200.0
Ethiopia,Unknown,Unknown,83.17,7.75,8.0,8.08,7.83,7.92,1850.0
Colombia,Caturra,Washed / Wet,83.08,7.58,7.67,7.67,7.75,7.58,1799.0
Colombia,Caturra,Washed / Wet,83.08,7.75,7.5,7.42,8.0,7.75,
Brazil,Yellow Bourbon,Pulped natural / honey,83.08,7.58,7.58,7.5,7.67,7.58,905.0
Brazil,Yellow Bourbon,Natural / Dry,83.08,7.33,7.67,7.33,7.75,7.42,1.0
Taiwan,Typica,Natural / Dry,83.08,7.83,7.92,7.83,7.67,7.25,750.0
Brazil,Mundo Novo,Natural / Dry,83.08,7.42,7.67,7.5,7.75,7.67,
Brazil,Bourbon,Washed / Wet,83.08,7.58,7.83,7.42,7.42,7.5,1200.0
Costa Rica,Catuai,Washed / Wet,83.08,7.83,7.33,7.67,7.58,7.67,1300.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,83.08,7.33,7.75,7.33,7.83,7.67,
Taiwan,Typica,Other,83.08,7.75,7.75,7.5,7.5,7.5,1300.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,83.08,7.83,7.83,7.17,7.75,7.67,
Mexico,Other,Washed / Wet,83.08,7.75,7.67,7.75,7.5,7.5,1400.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,83.08,7.67,7.58,7.67,7.92,8.0,
United States (Hawaii),Hawaiian Kona,Washed / Wet,83.08,7.33,7.58,7.92,7.67,7.58,
Colombia,Caturra,Unknown,83.08,7.33,7.33,7.58,7.25,8.08,1775.0
Colombia,Unknown,Unknown,83.08,7.83,7.75,7.25,7.42,7.92,1880.0
Indonesia,Unknown,Unknown,83.08,7.67,7.58,7.58,7.67,7.58,1350.0
Guatemala,Unknown,Unknown,83.08,7.92,7.67,7.25,7.83,7.67,
Brazil,Bourbon,Natural / Dry,83.0,7.58,7.5,7.75,7.67,7.5,890.0
Brazil,Bourbon,Natural / Dry,83.0,7.5,7.58,7.67,7.58,7.5,894.0
Brazil,Bourbon,Natural / Dry,83.0,7.5,7.67,7.67,7.58,7.42,872.0
Uganda,Bourbon,Washed / Wet,83.0,7.67,7.58,7.42,7.83,7.5,1473.0
Uganda,Bourbon,Natural / Dry,83.0,7.67,7.67,7.58,7.42,7.5,1645.0
Colombia,Unknown,Unknown,83.0,7.67,7.67,7.67,7.5,7.58,442.0
Vietnam,Caturra,Other,83.0,7.75,7.67,7.58,7.42,7.67,1550.0
Guatemala,Catuai,Washed / Wet,83.0,7.67,7.75,7.92,7.42,7.5,1550.0
Guatemala,Catuai,Washed / Wet,83.0,7.75,7.67,7.75,7.5,7.42,1371.6
Guatemala,Bourbon,Washed / Wet,83.0,7.83,7.67,7.67,7.75,7.5,1500.0
Brazil,Catuai,Natural / Dry,83.0,7.67,7.67,7.5,7.42,7.5,1000.0
Taiwan,Typica,Washed / Wet,83.0,7.92,7.92,7.58,7.33,7.25,1200.0
Uganda,SL14,Washed / Wet,83.0,7.83,7.58,7.5,7.58,7.5,1800.0
United States (Puerto Rico),Other,Washed / Wet,83.0,7.67,7.5,7.83,7.75,7.83,853.44
Guatemala,Bourbon,Washed / Wet,83.0,7.67,7.67,7.83,7.5,7.5,1500.0
Costa Rica,Catuai,Washed / Wet,83.0,7.67,7.58,7.58,7.5,7.5,1200.0
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,83.0,7.75,7.58,7.67,7.42,7.67,1250.0
Colombia,Caturra,Washed / Wet,83.0,7.75,7.42,7.5,7.58,7.17,1775.0
Colombia,Caturra,Washed / Wet,83.0,7.83,7.5,7.33,7.5,7.67,1750.0
Colombia,Caturra,Natural / Dry,83.0,7.33,7.67,7.42,7.75,7.58,1000.0
Colombia,Caturra,Natural / Dry,83.0,7.58,7.75,7.67,7.58,7.42,1000.0
Colombia,Caturra,Washed / Wet,83.0,7.5,7.5,7.58,7.75,7.58,1775.0
Mexico,Typica,Washed / Wet,83.0,7.67,7.58,7.5,7.67,7.58,750.0
Mexico,Typica,Semi-washed / Semi-pulped,83.0,7.67,7.83,7.58,7.58,7.67,1200.0
Mexico,Bourbon,Washed / Wet,83.0,7.5,7.67,7.5,7.58,7.58,1200.0
Colombia,Arusha,Natural / Dry,83.0,7.67,7.58,7.5,7.75,7.5,
Colombia,Caturra,Washed / Wet,83.0,7.75,7.58,7.67,7.83,7.75,1625.0
Colombia,Caturra,Washed / Wet,83.0,7.67,7.58,7.58,7.67,7.42,1750.0
Guatemala,Bourbon,Washed / Wet,83.0,7.5,7.67,7.67,7.5,7.83,1371.6
Colombia,Caturra,Washed / Wet,83.0,7.67,7.67,7.5,7.67,7.42,1775.0
Thailand,Unknown,Unknown,83.0,7.33,7.67,7.5,7.75,7.67,
Colombia,Unknown,Unknown,83.0,7.33,7.67,7.33,7.58,7.92,1450.0
United States (Hawaii),Unknown,Unknown,83.0,7.83,7.83,7.83,7.92,7.83,
United States (Hawaii),Unknown,Unknown,83.0,7.5,7.58,7.58,7.58,7.67,
Colombia,Unknown,Unknown,83.0,7.5,7.58,7.67,7.58,7.58,1800.0
Nicaragua,Caturra,Unknown,83.0,7.58,7.83,7.92,7.92,8.08,
Thailand,Unknown,Unknown,83.0,7.5,7.25,7.75,8.17,7.5,
Brazil,Bourbon,Natural / Dry,82.92,7.67,7.58,7.58,7.58,7.5,890.0
El Salvador,Bourbon,Washed / Wet,82.92,7.5,7.5,7.58,7.92,7.83,1350.0
Colombia,Caturra,Washed / Wet,82.92,7.58,7.67,7.33,7.67,7.58,1500.0
Taiwan,Caturra,Natural / Dry,82.92,7.17,7.83,7.67,7.67,7.58,350.0
Ethiopia,Ethiopian Heirlooms,Washed / Wet,82.92,7.58,7.58,7.5,7.58,7.58,2000.0
Taiwan,Typica,Natural / Dry,82.92,7.5,7.58,7.33,7.5,7.75,775.0
Philippines,Other,Washed / Wet,82.92,7.58,7.58,7.58,7.5,7.5,1200.0
Philippines,Other,Washed / Wet,82.92,8.08,7.5,7.42,7.33,7.5,1600.0
Mexico,Typica,Natural / Dry,82.92,7.83,7.67,7.58,7.5,7.5,1059.0
Mexico,Bourbon,Washed / Wet,82.92,7.75,7.67,7.42,7.75,7.5,1300.0
Brazil,Moka Peaberry,Semi-washed / Semi-pulped,82.92,7.08,7.5,7.83,7.75,7.67,
Uganda,SL14,Washed / Wet,82.92,8.0,7.5,7.58,7.33,7.42,1650.0
Uganda,SL14,Washed / Wet,82.92,7.75,7.58,7.5,7.5,7.5,1400.0
Guatemala,Bourbon,Washed / Wet,82.92,7.75,7.5,7.58,7.67,7.5,1500.0
Guatemala,Caturra,Natural / Dry,82.92,7.67,7.83,7.5,7.33,7.5,1500.0
Guatemala,Unknown,Washed / Wet,82.92,7.58,7.58,7.58,7.58,7.58,
Colombia,Caturra,Washed / Wet,82.92,7.58,7.5,7.33,7.58,7.58,1900.0
Colombia,Caturra,Natural / Dry,82.92,7.75,7.5,7.5,7.75,7.5,1750.0
Guatemala,Bourbon,Washed / Wet,82.92,7.83,7.75,7.92,7.5,7.17,1706.88
Colombia,Other,Washed / Wet,82.92,7.83,7.67,7.42,7.5,7.58,1450.0
Mexico,Typica,Natural / Dry,82.92,7.58,7.58,7.25,7.58,7.75,1248.0
Vietnam,Other,Natural / Dry,82.92,7.67,7.33,7.58,8.08,7.42,1040.0
Mexico,Typica,Washed / Wet,82.92,8.0,7.92,7.17,7.67,7.42,1400.0
United States (Hawaii),Hawaiian Kona,Washed / Wet,82.92,7.5,7.5,7.42,7.67,7.83,
Colombia,Unknown,Unknown,82.92,7.5,7.75,7.75,7.08,7.83,1450.0
Thailand,Unknown,Unknown,82.92,7.42,7.58,7.17,7.5,8.0,
Kenya,SL28,Washed / Wet,82.83,7.75,7.58,7.58,7.5,7.5,1754.0
Guatemala,Bourbon,Washed / Wet,82.83,7.5,7.58,7.67,7.58,7.58,1700.0
Brazil,Yellow Bourbon,Pulped natural / honey,82.83,7.67,7.58,7.5,7.5,7.42,905.0
El Salvador,Pacas,Washed / Wet,82.83,7.33,7.67,7.83,7.33,7.67,1250.0
Rwanda,Bourbon,Washed / Wet,82.83,7.83,7.92,7.83,7.75,7.75,1900.0
Vietnam,Other,Other,82.83,7.25,7.58,7.42,7.75,7.42,1040.0
Guatemala,Bourbon,Washed / Wet,82.83,7.58,7.58,7.67,7.67,7.5,1219.2
Brazil,Catuai,Natural / Dry,82.83,7.58,7.83,7.67,7.42,7.33,900.0
Colombia,Other,Washed / Wet,82.83,7.83,7.67,7.58,7.5,7.67,1600.0
United States,Other,Other,82.83,7.42,7.58,7.5,7.75,7.75,1200.0
Guatemala,Bourbon,Washed / Wet,82.83,7.67,7.67,7.67,7.42,7.17,1500.0
Colombia,Typica,Natural / Dry,82.83,7.5,7.42,7.5,7.58,7.58,1800.0
Colombia,Caturra,Washed / Wet,82.83,7.83,7.5,7.42,7.5,7.5,1775.0
"Tanzania, United Republic Of",Arusha,Washed / Wet,82.83,7.67,7.5,7.25,7.58,7.75,1400.0
Mexico,Caturra,Washed / Wet,82.83,7.58,7.67,7.58,7.5,7.5,1550.0
Mexico,Bourbon,Washed / Wet,82.83,7.67,7.58,7.75,7.42,7.42,1250.0
Guatemala,Bourbon,Washed / Wet,82.83,7.67,7.67,7.5,7.33,7.92,1310.64
Mexico,Typica,Washed / Wet,82.83,7.58,7.58,7.42,7.67,7.58,1380.0
El Salvador,Unknown,Unknown,82.83,7.75,7.58,7.75,7.25,7.5,1200.0
Guatemala,Caturra,Washed / Wet,82.75,7.5,7.58,7.67,7.58,7.5,1100.0
Guatemala,Caturra,Washed / Wet,82.75,7.58,7.67,7.58,7.5,7.42,1800.0
Guatemala,Bourbon,Washed / Wet,82.75,7.5,7.67,7.67,7.67,7.58,1700.0
Guatemala,Bourbon,Washed / Wet,82.75,7.5,7.5,7.58,7.67,7.5,1219.2
Guatemala,Bourbon,Washed / Wet,82.75,7.42,7.58,7.67,7.5,7.5,1219.2
Indonesia,Sulawesi,Other,82.75,7.5,7.58,7.58,7.58,7.5,1500.0
Guatemala,Bourbon,Washed / Wet,82.75,7.58,7.58,7.58,7.33,7.67,157.8864
Taiwan,Yellow Bourbon,Natural / Dry,82.75,7.83,7.67,7.67,7.58,7.67,650.0
El Salvador,Bourbon,Washed / Wet,82.75,7.67,7.67,7.33,7.58,7.67,1250.0
