country_of_origin,variety,processing_method,total_cup_points,aroma,flavor,acidity,body,balance,altitude_mean_meters
Ethiopia,Other,Natural / Dry,85.5,7.83,8.0,7.92,7.83,8.08,1900.0
Uganda,SL14,Washed / Wet,85.5,8.33,7.92,7.92,7.67,7.92,1600.0
Guatemala,Bourbon,Washed / Wet,85.5,8.0,7.83,8.33,7.83,8.0,1731.264
Ethiopia,Unknown,Washed / Wet,85.42,7.75,7.83,8.17,7.92,7.83,1900.0
Uganda,SL14,Washed / Wet,85.42,8.08,8.0,7.67,8.0,7.83,1950.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,85.42,7.92,7.92,7.92,7.75,7.92,
Brazil,Bourbon,Semi-washed / Semi-pulped,85.42,8.0,8.0,7.67,7.75,8.0,1250.0
El Salvador,Unknown,Unknown,85.42,8.08,7.83,8.08,7.83,7.83,1400.0
China,Catimor,Natural / Dry,85.33,8.0,8.0,7.83,7.83,7.75,1700.0
Guatemala,Pacamara,Natural / Dry,85.33,7.83,7.75,7.67,7.83,8.58,1770.0
Costa Rica,Caturra,Washed / Wet,85.33,7.92,8.08,7.92,8.0,8.08,1300.0
Costa Rica,Caturra,Washed / Wet,85.33,8.0,7.58,7.67,8.08,8.5,1300.0
Kenya,SL34,Washed / Wet,85.33,7.83,8.08,8.08,7.92,7.75,1600.0
Kenya,SL34,Washed / Wet,85.33,8.0,7.92,8.08,7.83,7.75,1200.0
Ethiopia,Unknown,Unknown,85.33,7.83,7.83,8.08,7.75,7.83,
Ethiopia,Typica,Unknown,85.33,7.92,7.83,8.33,7.75,7.75,
Guatemala,Bourbon,Unknown,85.25,8.0,7.92,8.0,7.92,7.83,
Colombia,Caturra,Washed / Wet,85.25,8.17,7.92,8.0,7.58,7.83,1550.0
Colombia,Caturra,Natural / Dry,85.25,7.58,8.08,7.83,8.0,7.92,1550.0
Indonesia,Sumatra Lintong,Semi-washed / Semi-pulped,85.17,7.75,7.83,8.0,8.08,7.83,1325.0
Guatemala,Caturra,Washed / Wet,85.17,8.25,8.0,7.92,7.75,7.67,1400.0
Ethiopia,Other,Natural / Dry,85.08,7.75,8.0,8.0,8.0,7.92,
Colombia,Caturra,Natural / Dry,85.08,8.17,7.83,8.08,8.0,7.75,2560.0
Ethiopia,Unknown,Natural / Dry,85.08,8.42,8.0,8.0,7.92,7.92,1700.0
United States (Hawaii),Hawaiian Kona,Natural / Dry,85.08,7.58,7.83,7.92,7.83,8.17,
Colombia,Caturra,Natural / Dry,85.08,7.83,8.0,7.75,7.83,7.83,2136.0
United States (Hawaii),Unknown,Unknown,85.08,8.08,8.17,8.0,8.08,8.0,
Ethiopia,Unknown,Unknown,85.08,7.67,8.0,8.0,7.92,7.83,
United States (Hawaii),Unknown,Unknown,85.08,7.5,7.92,7.83,7.92,7.75,
Uganda,SL14,Washed / Wet,85.0,8.17,7.92,7.75,7.67,7.75,1800.0
Colombia,Caturra,Washed / Wet,85.0,8.0,7.92,7.92,7.75,7.83,
Costa Rica,Catuai,Washed / Wet,85.0,7.83,8.0,7.92,7.92,7.83,1900.0
Mexico,Typica,Washed / Wet,85.0,7.83,8.0,7.75,7.67,7.83,1300.0
